strat,desc,mean_pnl_usd,min_pnl_usd,total_pnl_usd,total_taken,stability,fold_pnl_usd,fold_wr,cfg_json
TIME_DECAY_V2,be5m tp50->19->late sl30 t30m,81.2,-83.27,324.8,128,0.75,"[123.88, -83.27, 124.12, 160.07]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 30}"
TIME_DECAY_V2,be5m tp50->19->late sl30 t45m,81.2,-83.27,324.79,128,0.75,"[123.87, -83.27, 124.12, 160.07]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 45}"
TIME_DECAY_V2,be5m tp50->19->late sl25 t20m,43.92,-139.52,175.67,128,0.75,"[33.88, -139.52, 121.24, 160.07]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 20}"
TIME_DECAY_V2,be5m tp50->19->late sl25 t30m,44.82,-138.8,179.26,128,0.75,"[33.88, -138.8, 124.12, 160.07]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 30}"
TIME_DECAY_V2,be5m tp50->19->late sl25 t45m,44.81,-138.8,179.26,128,0.75,"[33.87, -138.8, 124.12, 160.07]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 45}"
TIME_DECAY_V2,be5m tp50->39->late sl35 t20m,111.22,-76.68,444.89,128,0.75,"[174.81, -76.68, 160.75, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 20}"
TIME_DECAY_V2,be5m tp50->39->late sl35 t30m,112.12,-75.96,448.49,128,0.75,"[174.81, -75.96, 163.62, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 30}"
TIME_DECAY_V2,be5m tp50->39->late sl35 t45m,112.12,-75.96,448.48,128,0.75,"[174.8, -75.96, 163.62, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 45}"
TIME_DECAY_V2,be5m tp50->39->late sl30 t20m,102.47,-111.68,409.89,128,0.75,"[174.81, -111.68, 160.75, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 20}"
TIME_DECAY_V2,be5m tp50->39->late sl30 t30m,103.37,-110.96,413.49,128,0.75,"[174.81, -110.96, 163.62, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 30}"
TIME_DECAY_V2,be5m tp50->39->late sl30 t45m,103.37,-110.96,413.48,128,0.75,"[174.8, -110.96, 163.62, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 45}"
TIME_DECAY_V2,be5m tp50->39->late sl25 t20m,66.09,-167.21,264.36,128,0.75,"[84.81, -167.21, 160.75, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 20}"
TIME_DECAY_V2,be5m tp50->39->late sl25 t30m,66.99,-166.49,267.95,128,0.75,"[84.81, -166.49, 163.62, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 30}"
TIME_DECAY_V2,be5m tp50->39->late sl25 t45m,66.98,-166.49,267.94,128,0.75,"[84.8, -166.49, 163.62, 186.01]","[0.594, 0.0, 0.5, 0.562]","{""be_minute"": 5, ""tp_start"": 1.5, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 45}"
TIME_DECAY_V2,be5m tp80->19->late sl35 t20m,90.26,-48.99,361.04,128,0.75,"[129.03, -48.99, 121.24, 159.75]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 20}"
TIME_DECAY_V2,be5m tp80->19->late sl35 t30m,91.16,-48.27,364.63,128,0.75,"[129.03, -48.27, 124.12, 159.75]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 30}"
TIME_DECAY_V2,be5m tp80->19->late sl35 t45m,91.16,-48.27,364.62,128,0.75,"[129.02, -48.27, 124.12, 159.75]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 45}"
TIME_DECAY_V2,be5m tp80->19->late sl30 t20m,81.51,-83.99,326.04,128,0.75,"[129.03, -83.99, 121.24, 159.75]","[0.594, 0.094, 0.656, 0.562]","{""be_minute"": 5, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 20}"
