strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_10usd
BE30_TP100_SL30,dexscreener,120,median_5,30,46.7,4.19,-4.77,12.58
BE30_TP100_SL30,dexscreener,120,winsor_p95,30,50.0,11.95,2.19,35.85
BE30_TP100_SL30,dexscreener,120,dual_confirm,30,50.0,8.45,2.19,25.34
BE30_TP100_SL30,dexscreener,120,ema_fast,30,53.3,12.51,3.21,37.52
BE30_TP100_SL30,dexscreener,120,ema_slow,30,53.3,8.89,3.21,26.67
BE30_TP100_SL30,dexscreener,120,hysteresis,30,50.0,6.43,2.19,19.3
BE30_TP100_SL30,dexscreener,120,volume_gated,30,50.0,13.55,2.19,40.66
BE30_TP100_SL30,both,60,raw,30,50.0,8.47,1.05,25.41
BE30_TP100_SL30,both,60,median_3,30,50.0,8.42,1.05,25.26
BE30_TP100_SL30,both,60,median_5,30,50.0,5.29,-3.12,15.87
BE30_TP100_SL30,both,60,winsor_p95,30,50.0,7.42,1.05,22.27
BE30_TP100_SL30,both,60,dual_confirm,30,50.0,8.42,1.05,25.26
BE30_TP100_SL30,both,60,ema_fast,30,50.0,8.42,1.05,25.26
BE30_TP100_SL30,both,60,ema_slow,30,53.3,8.35,3.1,25.06
BE30_TP100_SL30,both,60,hysteresis,30,50.0,4.46,1.05,13.38
BE30_TP100_SL30,both,60,volume_gated,30,50.0,8.47,1.05,25.41
BE30_TP100_SL30,both,120,raw,30,50.0,9.38,3.23,28.15
BE30_TP100_SL30,both,120,median_3,30,50.0,8.25,3.23,24.74
BE30_TP100_SL30,both,120,median_5,30,50.0,9.74,3.23,29.23
BE30_TP100_SL30,both,120,winsor_p95,30,50.0,10.38,3.23,31.14
BE30_TP100_SL30,both,120,dual_confirm,30,50.0,9.24,3.23,27.73
BE30_TP100_SL30,both,120,ema_fast,30,53.3,10.68,7.79,32.05
BE30_TP100_SL30,both,120,ema_slow,30,53.3,8.06,7.79,24.18
BE30_TP100_SL30,both,120,hysteresis,30,50.0,6.34,3.23,19.02
BE30_TP100_SL30,both,120,volume_gated,30,50.0,9.38,3.23,28.15
FAST_TP100_SL20,jupiter,60,raw,30,46.7,10.71,-9.28,32.13
FAST_TP100_SL20,jupiter,60,median_3,30,46.7,10.71,-9.28,32.13
FAST_TP100_SL20,jupiter,60,median_5,30,46.7,10.71,-9.28,32.13
FAST_TP100_SL20,jupiter,60,winsor_p95,30,50.0,10.98,-3.12,32.94
FAST_TP100_SL20,jupiter,60,dual_confirm,30,50.0,10.98,-3.12,32.94
FAST_TP100_SL20,jupiter,60,ema_fast,30,50.0,10.98,-3.12,32.94
FAST_TP100_SL20,jupiter,60,ema_slow,30,53.3,11.95,3.1,35.84
FAST_TP100_SL20,jupiter,60,hysteresis,30,53.3,2.26,3.1,6.79
FAST_TP100_SL20,jupiter,60,volume_gated,30,46.7,10.71,-9.28,32.13
FAST_TP100_SL20,jupiter,120,raw,30,50.0,12.54,-0.93,37.61
FAST_TP100_SL20,jupiter,120,median_3,30,50.0,12.54,-0.93,37.61
FAST_TP100_SL20,jupiter,120,median_5,30,50.0,12.54,-0.93,37.61
FAST_TP100_SL20,jupiter,120,winsor_p95,30,50.0,12.54,-0.93,37.61
FAST_TP100_SL20,jupiter,120,dual_confirm,30,50.0,12.54,-0.93,37.61
FAST_TP100_SL20,jupiter,120,ema_fast,30,50.0,12.54,-0.93,37.61
FAST_TP100_SL20,jupiter,120,ema_slow,30,53.3,11.21,7.79,33.62
FAST_TP100_SL20,jupiter,120,hysteresis,30,53.3,4.35,7.79,13.04
FAST_TP100_SL20,jupiter,120,volume_gated,30,50.0,12.54,-0.93,37.61
FAST_TP100_SL20,dexscreener,60,raw,30,46.7,10.68,-9.35,32.03
FAST_TP100_SL20,dexscreener,60,median_3,30,46.7,9.67,-9.35,29.01
FAST_TP100_SL20,dexscreener,60,median_5,30,46.7,9.67,-9.35,29.01
FAST_TP100_SL20,dexscreener,60,winsor_p95,30,46.7,9.67,-9.35,29.01
FAST_TP100_SL20,dexscreener,60,dual_confirm,30,50.0,11.05,-3.74,33.15
FAST_TP100_SL20,dexscreener,60,ema_fast,30,46.7,9.67,-9.35,29.01
FAST_TP100_SL20,dexscreener,60,ema_slow,30,53.3,9.74,1.49,29.21
FAST_TP100_SL20,dexscreener,60,hysteresis,30,53.3,1.98,1.49,5.95
FAST_TP100_SL20,dexscreener,60,volume_gated,30,46.7,10.68,-9.35,32.03
FAST_TP100_SL20,dexscreener,120,raw,30,50.0,16.36,-2.01,49.09
FAST_TP100_SL20,dexscreener,120,median_3,30,50.0,12.75,-2.01,38.27
FAST_TP100_SL20,dexscreener,120,median_5,30,50.0,10.78,-2.01,32.34
FAST_TP100_SL20,dexscreener,120,winsor_p95,30,50.0,11.79,-2.01,35.36
FAST_TP100_SL20,dexscreener,120,dual_confirm,30,50.0,10.71,-2.01,32.12
FAST_TP100_SL20,dexscreener,120,ema_fast,30,50.0,13.76,-2.01,41.28
FAST_TP100_SL20,dexscreener,120,ema_slow,30,53.3,11.06,3.21,33.18
FAST_TP100_SL20,dexscreener,120,hysteresis,30,53.3,3.87,3.21,11.6
FAST_TP100_SL20,dexscreener,120,volume_gated,30,50.0,16.36,-2.01,49.09
FAST_TP100_SL20,both,60,raw,30,46.7,10.35,-9.28,31.04
FAST_TP100_SL20,both,60,median_3,30,46.7,9.3,-9.28,27.9
FAST_TP100_SL20,both,60,median_5,30,46.7,9.3,-9.28,27.9
FAST_TP100_SL20,both,60,winsor_p95,30,50.0,10.62,-3.12,31.85
FAST_TP100_SL20,both,60,dual_confirm,30,50.0,10.62,-3.12,31.85
FAST_TP100_SL20,both,60,ema_fast,30,50.0,10.62,-3.12,31.85
FAST_TP100_SL20,both,60,ema_slow,30,53.3,11.58,3.1,34.75
FAST_TP100_SL20,both,60,hysteresis,30,53.3,2.11,3.1,6.32
FAST_TP100_SL20,both,60,volume_gated,30,46.7,10.35,-9.28,31.04
FAST_TP100_SL20,both,120,raw,30,50.0,12.17,-0.93,36.52
FAST_TP100_SL20,both,120,median_3,30,50.0,12.17,-0.93,36.52
FAST_TP100_SL20,both,120,median_5,30,50.0,12.17,-0.93,36.52
FAST_TP100_SL20,both,120,winsor_p95,30,50.0,12.17,-0.93,36.52
FAST_TP100_SL20,both,120,dual_confirm,30,50.0,12.17,-0.93,36.52
FAST_TP100_SL20,both,120,ema_fast,30,50.0,12.17,-0.93,36.52
FAST_TP100_SL20,both,120,ema_slow,30,53.3,10.84,7.79,32.53
FAST_TP100_SL20,both,120,hysteresis,30,53.3,3.99,7.79,11.96
FAST_TP100_SL20,both,120,volume_gated,30,50.0,12.17,-0.93,36.52
FAST_TP50_SL30,jupiter,60,raw,30,50.0,3.48,-3.12,10.45
FAST_TP50_SL30,jupiter,60,median_3,30,53.3,5.67,3.1,17.0
FAST_TP50_SL30,jupiter,60,median_5,30,50.0,3.23,-3.12,9.7
FAST_TP50_SL30,jupiter,60,winsor_p95,30,50.0,4.37,-3.12,13.1
FAST_TP50_SL30,jupiter,60,dual_confirm,30,53.3,5.67,3.1,17.0
FAST_TP50_SL30,jupiter,60,ema_fast,30,53.3,4.65,3.1,13.94
FAST_TP50_SL30,jupiter,60,ema_slow,30,53.3,5.92,3.1,17.78
FAST_TP50_SL30,jupiter,60,hysteresis,30,53.3,2.26,3.1,6.79
FAST_TP50_SL30,jupiter,60,volume_gated,30,50.0,3.48,-3.12,10.45
FAST_TP50_SL30,jupiter,120,raw,30,50.0,3.97,-0.93,11.92
FAST_TP50_SL30,jupiter,120,median_3,30,50.0,3.49,-0.93,10.46
FAST_TP50_SL30,jupiter,120,median_5,30,50.0,6.12,-0.93,18.35
FAST_TP50_SL30,jupiter,120,winsor_p95,30,53.3,4.63,7.79,13.9
FAST_TP50_SL30,jupiter,120,dual_confirm,30,53.3,5.92,7.79,17.76
FAST_TP50_SL30,jupiter,120,ema_fast,30,53.3,5.27,7.79,15.82
FAST_TP50_SL30,jupiter,120,ema_slow,30,53.3,5.75,7.79,17.25
FAST_TP50_SL30,jupiter,120,hysteresis,30,53.3,4.35,7.79,13.04
FAST_TP50_SL30,jupiter,120,volume_gated,30,50.0,3.97,-0.93,11.92
FAST_TP50_SL30,dexscreener,60,raw,30,50.0,3.15,-3.74,9.45
FAST_TP50_SL30,dexscreener,60,median_3,30,50.0,1.55,-3.74,4.64
FAST_TP50_SL30,dexscreener,60,median_5,30,46.7,0.48,-9.35,1.44
FAST_TP50_SL30,dexscreener,60,winsor_p95,30,46.7,0.48,-9.35,1.44
FAST_TP50_SL30,dexscreener,60,dual_confirm,30,53.3,4.22,1.49,12.66
FAST_TP50_SL30,dexscreener,60,ema_fast,30,53.3,5.82,3.78,17.47
FAST_TP50_SL30,dexscreener,60,ema_slow,30,53.3,6.05,1.49,18.15
FAST_TP50_SL30,dexscreener,60,hysteresis,30,53.3,1.98,1.49,5.95
FAST_TP50_SL30,dexscreener,60,volume_gated,30,50.0,3.15,-3.74,9.45
FAST_TP50_SL30,dexscreener,120,raw,30,50.0,3.6,-2.01,10.79
FAST_TP50_SL30,dexscreener,120,median_3,30,50.0,3.63,-2.01,10.9
FAST_TP50_SL30,dexscreener,120,median_5,30,50.0,4.11,-2.01,12.32
FAST_TP50_SL30,dexscreener,120,winsor_p95,30,53.3,3.02,3.21,9.07
FAST_TP50_SL30,dexscreener,120,dual_confirm,30,53.3,6.12,3.21,18.35
FAST_TP50_SL30,dexscreener,120,ema_fast,30,53.3,5.15,3.21,15.46
FAST_TP50_SL30,dexscreener,120,ema_slow,30,53.3,3.83,3.21,11.5
FAST_TP50_SL30,dexscreener,120,hysteresis,30,53.3,3.87,3.21,11.6
FAST_TP50_SL30,dexscreener,120,volume_gated,30,50.0,3.6,-2.01,10.79
FAST_TP50_SL30,both,60,raw,30,50.0,3.29,-3.12,9.86
FAST_TP50_SL30,both,60,median_3,30,53.3,4.45,3.1,13.36
FAST_TP50_SL30,both,60,median_5,30,50.0,2.02,-3.12,6.05
FAST_TP50_SL30,both,60,winsor_p95,30,50.0,3.15,-3.12,9.45
FAST_TP50_SL30,both,60,dual_confirm,30,53.3,4.45,3.1,13.36
FAST_TP50_SL30,both,60,ema_fast,30,53.3,4.45,3.1,13.36
FAST_TP50_SL30,both,60,ema_slow,30,53.3,5.56,3.1,16.69
FAST_TP50_SL30,both,60,hysteresis,30,53.3,2.11,3.1,6.32
FAST_TP50_SL30,both,60,volume_gated,30,50.0,3.29,-3.12,9.86
FAST_TP50_SL30,both,120,raw,30,50.0,3.78,-0.93,11.33
FAST_TP50_SL30,both,120,median_3,30,50.0,3.13,-0.93,9.38
FAST_TP50_SL30,both,120,median_5,30,50.0,5.75,-0.93,17.26
FAST_TP50_SL30,both,120,winsor_p95,30,53.3,3.42,7.79,10.25
FAST_TP50_SL30,both,120,dual_confirm,30,53.3,5.56,7.79,16.67
FAST_TP50_SL30,both,120,ema_fast,30,53.3,5.08,7.79,15.23
FAST_TP50_SL30,both,120,ema_slow,30,53.3,5.39,7.79,16.16
FAST_TP50_SL30,both,120,hysteresis,30,53.3,3.99,7.79,11.96
FAST_TP50_SL30,both,120,volume_gated,30,50.0,3.78,-0.93,11.33
