strategy,type,mode,filter,horizon,trail_n,sl_n,tp_n,tmo_n,early_exit_n,avg_peak,avg_peak_drop,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,kelly,final_bankroll,max_dd_pct,total_pnl_usd
TRAIL20_TP70_SL50,TRAIL,LAZY_STD,ALL,360,35,22,8,18,4,41.4,35.1,83,39.75903614457831,-7.704939759036143,-9.76,-0.7870289757984671,-0.24226369141253007,199.05708419142852,63.28781005923165,-300.94291580857146
DTRAIL10_ACT30_SL70,DTRAIL,LAZY_STD,ALL,180,36,18,0,29,2,43.2,37.9,83,46.98795180722892,-6.424939759036144,-2.4899999999999998,-0.42036278161835117,-0.15905234231241988,198.95695770839126,74.65321590327613,-301.04304229160874
DTRAIL10_ACT30_SL70,DTRAIL,LAZY_STD,ALL,240,36,18,0,29,2,43.2,37.9,83,46.98795180722892,-6.424939759036144,-2.4899999999999998,-0.42036278161835117,-0.15905234231241988,198.95695770839126,74.65321590327613,-301.04304229160874
DTRAIL10_ACT30_SL70,DTRAIL,LAZY_STD,ALL,360,36,18,0,29,2,43.2,37.9,83,46.98795180722892,-6.424939759036144,-2.4899999999999998,-0.42036278161835117,-0.15905234231241988,198.95695770839126,74.65321590327613,-301.04304229160874
TRAIL15_TP70_SL60,TRAIL,LAZY_MED,ALL,120,38,18,10,17,6,35.9,33.3,83,36.144578313253014,-7.680240963855421,-8.129999999999999,-0.774325463263497,-0.2322770592425652,198.8718548522838,60.225629029543235,-301.12814514771617
TP150_SL40,FIXED,LAZY_STD,ALL,240,0,36,3,44,2,45.5,36.9,83,28.915662650602407,-7.0516867469879525,-36.5,-0.5436169391862615,-0.11915155235057573,198.8620690180004,65.33743568791525,-301.1379309819996
TP150_SL40,FIXED,LAZY_STD,ALL,360,0,36,3,44,2,45.5,36.9,83,28.915662650602407,-7.0516867469879525,-36.5,-0.5436169391862615,-0.11915155235057573,198.8620690180004,65.33743568791525,-301.1379309819996
TP100_SL30,FIXED,FAST_30,ALL,240,0,54,6,23,6,42.5,34.8,83,24.096385542168676,-7.686746987951806,-30.209999999999997,-0.7586327218868023,-0.14118759793091562,198.77139444303614,62.665275792114336,-301.2286055569639
TP100_SL30,FIXED,FAST_30,ALL,360,0,54,6,23,6,42.5,34.8,83,24.096385542168676,-7.686746987951806,-30.209999999999997,-0.7586327218868023,-0.14118759793091562,198.77139444303614,62.665275792114336,-301.2286055569639
TRAIL15_TP150_SL70,TRAIL,LAZY_SLOW,ALL,120,41,13,3,26,0,39.9,35.1,83,38.55421686746988,-7.255903614457831,-5.96,-0.6070413239879154,-0.20379783874682977,198.73813312828662,69.08757927831213,-301.2618668717134
