strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_usd
DTRAIL10_ACT15_SL70,both,0,median_3,30,53.3,-4.81,3.14,-147.3
DTRAIL10_ACT15_SL70,both,0,median_5,30,50.0,-1.99,0.23,-131.38
DTRAIL10_ACT15_SL70,both,0,winsor_p95,30,56.7,-5.05,1.8,-162.15
DTRAIL10_ACT15_SL70,both,0,dual_confirm,30,60.0,-2.97,2.51,-128.42
DTRAIL10_ACT15_SL70,both,0,ema_fast,30,50.0,-4.22,1.29,-115.39
DTRAIL10_ACT15_SL70,both,0,ema_slow,30,43.3,0.67,-1.22,-2.87
DTRAIL10_ACT15_SL70,both,0,hysteresis,30,60.0,-4.08,2.51,-148.14
DTRAIL10_ACT15_SL70,both,0,volume_gated,30,60.0,-2.97,2.51,-128.42
DTRAIL10_ACT15_SL70,both,30,raw,30,60.0,-2.97,2.51,-128.42
DTRAIL10_ACT15_SL70,both,30,median_3,30,53.3,-4.81,3.14,-147.3
DTRAIL10_ACT15_SL70,both,30,median_5,30,50.0,-1.99,0.23,-131.38
DTRAIL10_ACT15_SL70,both,30,winsor_p95,30,56.7,-5.05,1.8,-162.15
DTRAIL10_ACT15_SL70,both,30,dual_confirm,30,60.0,-2.97,2.51,-128.42
DTRAIL10_ACT15_SL70,both,30,ema_fast,30,50.0,-4.22,1.29,-115.39
DTRAIL10_ACT15_SL70,both,30,ema_slow,30,43.3,0.67,-1.22,-2.87
DTRAIL10_ACT15_SL70,both,30,hysteresis,30,60.0,-4.08,2.51,-148.14
DTRAIL10_ACT15_SL70,both,30,volume_gated,30,60.0,-2.97,2.51,-128.42
DTRAIL10_ACT15_SL70,both,60,raw,30,60.0,-3.4,2.51,-134.82
DTRAIL10_ACT15_SL70,both,60,median_3,30,53.3,-4.63,1.09,-144.52
DTRAIL10_ACT15_SL70,both,60,median_5,30,53.3,-0.43,1.47,-92.09
DTRAIL10_ACT15_SL70,both,60,winsor_p95,30,56.7,-4.27,2.51,-150.34
DTRAIL10_ACT15_SL70,both,60,dual_confirm,30,60.0,-3.4,2.51,-134.82
DTRAIL10_ACT15_SL70,both,60,ema_fast,30,53.3,-1.32,10.06,-71.88
DTRAIL10_ACT15_SL70,both,60,ema_slow,30,43.3,2.72,-1.13,73.15
DTRAIL10_ACT15_SL70,both,60,hysteresis,30,60.0,-4.51,2.51,-154.54
