rank,name,whitelist,type,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,max_dd_pct,kelly,final_bankroll,total_pnl_usd
5266,DIP30_B5_P1T10A20S50_P2T5A15S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5267,DIP30_B5_P1T10A20S50_P2T5A15S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5268,DIP30_B10_P1T10A20S50_P2T5A15S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5269,DIP30_B10_P1T10A20S50_P2T5A15S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5270,DIP40_B5_P1T10A20S50_P2T5A15S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5271,DIP40_B5_P1T10A20S50_P2T5A15S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5272,DIP40_B10_P1T10A20S50_P2T5A15S60_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5273,DIP40_B10_P1T10A20S50_P2T5A15S70_360m,NO,DIP_BUY,94,55.319148936170215,-2.4247145222183164,5.715,-0.298433829421311,6.525398845827743,-0.11935361146852741,477.20768349114786,-22.79231650885214
5274,TD_T2W_3to10_ACT30_SL40_120m,NO,DYNAMIC_TRAIL,94,47.87234042553192,-2.4323643966229165,-15.152056034094619,-0.245705053476823,11.42130218250843,-0.06739898182848575,477.13577467174434,-22.864225328255657
5275,TD_T2W_3to10_ACT30_SL50_120m,NO,DYNAMIC_TRAIL,94,52.12765957446809,-2.4411594326426527,7.303114104098607,-0.22903113858366284,12.882262613524853,-0.06955334564868199,477.0531013331595,-22.946898666840525
