strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_10usd
BE30_TP100_SL30,both,120,median_5,102,39.2,3.2,-1.39,32.61
BE30_TP100_SL30,both,120,winsor_p95,102,39.2,4.2,-1.66,42.79
BE30_TP100_SL30,both,120,dual_confirm,102,37.3,1.55,-1.39,15.81
BE30_TP100_SL30,both,120,ema_fast,102,39.2,3.58,-1.39,36.53
BE30_TP100_SL30,both,120,ema_slow,102,40.2,3.42,-1.12,34.87
BE30_TP100_SL30,both,120,hysteresis,102,39.2,-0.46,-0.99,-4.68
BE30_TP100_SL30,both,120,volume_gated,102,37.3,1.42,-1.39,14.53
FAST_TP100_SL20,jupiter,60,raw,102,35.3,1.43,-20.24,14.58
FAST_TP100_SL20,jupiter,60,median_3,102,35.3,1.46,-20.24,14.9
FAST_TP100_SL20,jupiter,60,median_5,102,37.3,2.95,-20.24,30.08
FAST_TP100_SL20,jupiter,60,winsor_p95,102,36.3,2.7,-20.24,27.52
FAST_TP100_SL20,jupiter,60,dual_confirm,102,38.2,4.67,-19.46,47.66
FAST_TP100_SL20,jupiter,60,ema_fast,102,36.3,2.64,-20.24,26.91
FAST_TP100_SL20,jupiter,60,ema_slow,102,40.2,4.82,-15.58,49.12
FAST_TP100_SL20,jupiter,60,hysteresis,102,44.1,-1.08,-8.35,-11.05
FAST_TP100_SL20,jupiter,60,volume_gated,102,35.3,1.43,-20.24,14.58
FAST_TP100_SL20,jupiter,120,raw,102,35.3,2.53,-20.24,25.81
FAST_TP100_SL20,jupiter,120,median_3,102,37.3,3.33,-19.46,34.01
FAST_TP100_SL20,jupiter,120,median_5,102,37.3,2.78,-18.27,28.35
FAST_TP100_SL20,jupiter,120,winsor_p95,102,35.3,3.67,-20.24,37.39
FAST_TP100_SL20,jupiter,120,dual_confirm,102,37.3,3.33,-19.46,33.92
FAST_TP100_SL20,jupiter,120,ema_fast,102,36.3,3.59,-20.24,36.59
FAST_TP100_SL20,jupiter,120,ema_slow,102,41.2,5.72,-12.5,58.34
FAST_TP100_SL20,jupiter,120,hysteresis,102,44.1,-1.08,-6.79,-11.02
FAST_TP100_SL20,jupiter,120,volume_gated,102,35.3,2.53,-20.24,25.81
FAST_TP100_SL20,dexscreener,60,raw,102,33.3,0.59,-20.24,6.03
FAST_TP100_SL20,dexscreener,60,median_3,102,34.3,0.97,-20.24,9.93
FAST_TP100_SL20,dexscreener,60,median_5,102,34.3,1.93,-20.24,19.71
FAST_TP100_SL20,dexscreener,60,winsor_p95,102,34.3,1.86,-20.24,18.97
FAST_TP100_SL20,dexscreener,60,dual_confirm,102,36.3,3.4,-20.24,34.68
FAST_TP100_SL20,dexscreener,60,ema_fast,102,35.3,2.15,-20.24,21.94
FAST_TP100_SL20,dexscreener,60,ema_slow,102,39.2,4.53,-16.24,46.17
FAST_TP100_SL20,dexscreener,60,hysteresis,102,43.1,-1.06,-7.16,-10.86
FAST_TP100_SL20,dexscreener,60,volume_gated,102,33.3,0.59,-20.24,6.03
